Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59652.8,43.65927869,-79.37822728,63.664,343.059352,0.058467752,-0.46364343,0.0011,-0.001,0.0023,0.002738613
59653,43.65927869,-79.37822728,63.664,343.059986,0.057116467,-0.46295866,0.0015,-0.0001,0.0032,0.003535534
59653.2,43.65927869,-79.37822728,63.6639,343.0588146,0.060164455,-0.463627917,-0.0012,-0.0013,-0.0004,0.001813836
59653.4,43.65927869,-79.37822729,63.6639,343.0585245,0.05877663,-0.460239589,0.0011,0.0004,0.0018,0.002147091
59653.6,43.65927869,-79.37822729,63.6638,343.0590787,0.058457753,-0.461486505,-0.0003,-0.0023,0.0018,0.002935984
59653.8,43.65927869,-79.37822729,63.6638,343.0581525,0.061566632,-0.459882955,-0.0008,0.0012,-0.0001,0.001445683
59654,43.65927869,-79.37822729,63.6637,343.059818,0.061243911,-0.456215606,-0.0001,-0.001,0.0028,0.002974895
59654.2,43.65927869,-79.37822729,63.6637,343.0593391,0.059210837,-0.462007625,-0.0008,-0.0003,0.001,0.001315295
59654.4,43.65927869,-79.37822729,63.6636,343.059975,0.060626797,-0.457634066,-0.0014,0.0007,0.0001,0.001568439
59654.6,43.65927869,-79.37822729,63.6636,343.0580232,0.060303595,-0.455170554,-0.0009,-0.0007,0.0014,0.001805547
59654.8,43.65927869,-79.37822729,63.6635,343.0576584,0.06248974,-0.455705951,-0.0009,0.0007,-0.0012,0.001655295
59655,43.65927869,-79.37822729,63.6635,343.0596206,0.059513491,-0.457432888,-0.0003,0.0006,0.0003,0.000734847
59655.2,43.65927869,-79.37822729,63.6635,343.0584283,0.059191294,-0.457042133,-0.0004,0.0018,-0.0005,0.001910497
59655.4,43.65927869,-79.37822729,63.6634,343.0583724,0.058924099,-0.456162506,-0.0001,0.0012,0.0003,0.001240967
59655.6,43.65927869,-79.37822729,63.6634,343.0584827,0.059740255,-0.457274703,-0.0003,0.002,0.0017,0.002641969
59655.8,43.65927869,-79.37822729,63.6633,343.0583686,0.05971102,-0.458029461,-0.0007,0.0018,0.0004,0.001972308
59656,43.65927869,-79.37822729,63.6633,343.057257,0.05924251,-0.45642919,0.0004,0.0025,0.0002,0.002539685
59656.2,43.65927869,-79.37822729,63.6633,343.0598182,0.058341906,-0.458231893,-0.0004,0.0004,0.0002,0.0006
59656.4,43.65927869,-79.37822729,63.6632,343.0592621,0.059951818,-0.45659969,0.0002,-0.0021,-0.0002,0.002118962
59656.6,43.65927869,-79.37822729,63.6632,343.0610053,0.061528433,-0.460314394,0,-0.0014,0.0001,0.001403567
59656.8,43.65927869,-79.37822729,63.6632,343.0608511,0.055931854,-0.474026113,0.0012,-0.0027,0.001,0.003119295
59657,43.65927869,-79.37822729,63.6631,343.061241,0.053422756,-0.475873024,0.0007,0.0008,-0.0018,0.002090454
59657.2,43.65927869,-79.37822729,63.6631,343.0596665,0.051845043,-0.476586586,0.0005,-0.0029,-0.0007,0.003024897
59657.4,43.65927869,-79.37822729,63.6631,343.0612418,0.050638407,-0.481629662,0.0006,0.0004,0.0002,0.000748331
59657.6,43.65927869,-79.37822729,63.663,343.0602142,0.048456364,-0.482715869,0.0007,-0.0005,0.0001,0.000866025
59657.8,43.65927869,-79.37822729,63.663,343.0601832,0.0480359,-0.479057506,0.0007,0.0018,-0.0014,0.002385372
59658,43.65927869,-79.37822729,63.663,343.0582157,0.045346231,-0.475944881,0.0013,-0.0021,0.0006,0.002541653
59658.2,43.65927869,-79.37822729,63.6629,343.0606696,0.044390242,-0.489972093,-0.0001,0.0012,-0.001,0.001565248
59658.4,43.65927869,-79.37822729,63.6629,343.0598359,0.044912112,-0.490444854,0.0015,0.0038,0.0011,0.004230839
59658.6,43.65927869,-79.37822729,63.6629,343.0590382,0.044850695,-0.479648649,0.0017,0.0028,-0.0015,0.003602777
59658.8,43.65927869,-79.37822729,63.6628,343.0608517,0.048320273,-0.484028866,-0.0013,-0.0002,-0.001,0.001652271
59659,43.65927869,-79.37822729,63.6628,343.0636576,0.05865365,-0.473280323,-0.0053,0.0086,-0.0047,0.011141813
59659.2,43.65927869,-79.3782273,63.6584,343.054868,0.080223201,-0.434857102,0.0035,0.0046,0.003,0.006512296
59659.4,43.6592787,-79.37822732,63.6642,343.0623211,0.069013823,-0.454933489,0.0124,-0.0055,0.001,0.013601838
59659.6,43.65927871,-79.37822732,63.6702,343.0587694,0.061627148,-0.455924361,0.0046,0.0082,0.0029,0.009839207
59659.8,43.6592787,-79.37822731,63.6753,343.0596005,0.065964245,-0.452834845,-0.0047,0.0008,-0.0003,0.004777028
